id;prenom;nom;sexe;lieu_naissance;date_naissance;numero_telephone;numero_cni
1;Jean;DUPONT;M;Paris;1980-01-01;0601020304;123456789
2;Marie;DURAND;F;Lyon;1980-01-01;0601020304;123456789
3;Pierre;DUPONT;M;Paris;1980-01-01;0601020304;123456789
4;Jeanne;DURAND;F;Lyon;1980-01-01;0601020304;123456789
5;Jean;DUPONT;M;Paris;1980-01-01;0601020304;123456789
6;Marie;DURAND;F;Lyon;1980-01-01;0601020304;123456789
7;Pierre;DUPONT;M;Paris;1980-01-01;0601020304;123456789
8;Jeanne;DURAND;F;Lyon;1980-01-01;0601020304;123456789
9;Jean;DUPONT;M;Paris;1980-01-01;0601020304;123456789
10;Marie;DURAND;F;Lyon;1980-01-01;0601020304;123456789

